DATETIME,STN,RHYP,R35,BJ84,SED84,HB87,GG91,MLM92,WGW96,A16,RES
201206191053,TOMM,55.5,5.51,5.39,5.73,5.44,5.41,5.5,5.52,5.57,-0.17
201206191053,MR2A,284,nan,nan,5.28,nan,4.99,5.19,5.66,5.1,0.14
201206191053,FSHM,60.6,4.79,4.63,4.9,4.68,4.55,4.64,4.67,4.72,0.69
201206191053,CDNM,84.4,4.96,4.93,5.14,4.95,4.88,5,5.07,5.1,0.33
201206191053,DROM,115.8,5.14,5.14,5.27,5.14,5.07,5.21,5.35,5.17,0.12
201206191053,JENM,22.9,nan,nan,5.31,nan,5.12,5.13,5.13,5.11,0.2
201206191053,COTT,405.3,6.05,6.08,5.73,5.8,5.23,5.45,6.04,5.36,-0.12
201206191053,DTMM,222.2,nan,nan,5.36,nan,5.14,5.33,5.69,5.23,0
201206191053,GOGM,374.7,nan,nan,5.87,nan,5.43,5.64,6.21,5.55,-0.31
201206191053,GOOG,414.5,nan,nan,5.65,nan,5.13,5.36,5.95,5.26,-0.02
201206191053,IVSM,249.6,5.7,5.75,5.54,5.63,5.29,5.49,5.9,5.39,-0.15
201206191053,LEAH,448,5.5,5.59,5.26,5.28,4.68,4.91,5.52,4.81,0.42
201206191053,MLWM,144.5,5.29,5.38,5.53,5.35,5.34,5.5,5.71,5.37,-0.17
201206191053,POAT,397.5,5.81,5.81,5.43,5.54,4.95,5.17,5.75,5.08,0.16
201206191053,ROWM,181.8,5.82,5.92,5.52,5.86,5.33,5.5,5.79,5.39,-0.17
201206191053,ARPS,425.5,6.18,6.19,5.93,5.89,5.39,5.61,6.21,5.51,-0.28
201206191053,CNB,429.9,5.69,5.72,5.42,5.42,4.87,5.1,5.7,5,0.23
201206191053,MOO,469.7,5.78,5.87,5.76,5.53,5.14,5.36,5.98,5.26,-0.03
201206191053,TOO,105.6,5.35,5.38,5.67,5.38,5.45,5.58,5.71,5.6,-0.25
201206191053,GEES,360,5.47,5.51,5.4,5.28,4.99,5.2,5.75,5.11,0.13
201206191053,GLAD,336.1,5.72,5.76,5.7,5.55,5.33,5.54,6.07,5.45,-0.21
201206191053,TWOA,775,6.23,6.85,6.56,6.2,5.22,5.46,5.99,5.27,-0.13
201206191053,WOLH,596.3,nan,nan,6.43,nan,5.52,5.75,6.38,5.62,-0.42
201206191053,AUMTS,409.6,nan,nan,5.83,nan,5.32,5.54,6.13,5.45,-0.2
201207200911,MOE4,14.6,4.77,5.01,5.17,5.18,4.9,4.87,4.9,4.79,-0.51
201207200911,CDNM,76.9,3.99,3.9,4.2,3.92,3.91,4.02,4.08,4.12,0.33
201207200911,DROM,111.1,4.55,4.52,4.59,4.52,4.38,4.51,4.65,4.5,-0.16
201207200911,FSHM,62.6,4.97,4.84,5.08,4.87,4.74,4.83,4.86,4.91,-0.47
201207200911,JENM,24.2,nan,nan,4.42,nan,4.23,4.25,4.25,4.23,0.11
201207200911,LEAH,453.6,5.02,5.14,4.82,4.82,4.22,4.45,5.06,4.35,-0.09
201207200911,MLWM,136.9,4.24,4.28,4.39,4.26,4.2,4.36,4.55,4.23,0
201207200911,ROWM,175.5,4.78,4.85,4.62,4.8,4.44,4.61,4.89,4.5,-0.25
201207200911,TOMM,49.2,3.41,3.33,3.34,3.37,3.08,3.15,3.16,3.21,1.21
201207200911,WAMB,327.3,nan,nan,4.08,nan,3.73,3.94,4.45,3.85,0.42
201207200911,AUMTS,407.5,4.58,4.62,4.5,4.34,4,4.22,4.8,4.12,0.14
201207200911,ARPS,419.1,5.25,5.34,5.08,5.05,4.56,4.78,5.37,4.68,-0.43
201207200911,CNB,428.4,4.77,4.79,4.4,4.49,3.86,4.08,4.68,3.99,0.27
201207200911,GEES,366,nan,nan,4.99,nan,4.56,4.78,5.34,4.69,-0.42
201207200911,MILA,289.9,4.14,4.17,4.26,4.01,3.96,4.16,4.63,4.07,0.2
201207200911,MOO,475.7,5.02,5.13,5.01,4.79,4.37,4.6,5.22,4.49,-0.24
201207200911,YNG,478.8,5.11,5.23,4.86,4.88,4.21,4.44,5.06,4.33,-0.09
201207200911,CCRM,241.2,nan,nan,4.71,nan,4.48,4.67,5.07,4.58,-0.3