FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count,
earthquakes.fid--718ebb5a_177845ae793_5cfe,265021,0,,5,,BROOME; 51KM N,,,FINL,2008-04-02T18:49:04,ga1989yfkhnd,2009-12-15T10:11:05,-17.512,122.3,4.8,,4.2,,,,,,,,,1611119,1989-12-09T21:05:30,,0,4.8,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cfd,265383,108.02,253.57,11,0.7404,Newcastle NSW.  md 5.5 (CNB). 13 people killed; more than 100 injured and estimated 1.1 billion U.S. dollars damage I=VIII MM caused in the Newcastle area. Damage occurred as far away as Liverpool; Scone and Gladstone. Felt in a 200;000 sq.km. area of New South Wales and the Australian Capital Territory from Albury and Cooma to Coffs Harbour and Inverell and as far west as Narromine. Also felt by people in high-rise buildings in Gold Coast and Melbourne. Believed to be the first earthquake in Australian history that has caused deaths.,,,FINL,2008-04-02T18:41:09,ga1989zmqbgf,2015-11-30T14:26:42,-32.946,151.607,5.7,,5.5,4.6,,,5.4,,,,,620500,1989-12-27T23:26:57,68.06,27,5.4,Mwp,2.483,1.3203,AUST,74.62072683,27,
earthquakes.fid--718ebb5a_177845ae793_5d33,265772,242.03,,5,,,,,FINL,2008-04-02T18:35:45,ga1990auyoye,2009-12-15T10:14:53,-23.053,131.239,,,4.4,,,,,,,,,620503,1990-01-12T09:50:58,,0,4.4,ML,,,,1.05282358,0,
earthquakes.fid--718ebb5a_177845ae793_5cfc,265946,244.6,,6,,Meckering WA. Isoseismal map.,,,FINL,2008-04-02T18:33:31,ga1990bdwvef,2009-12-15T10:14:53,-31.72,116.99,5.2,,5.5,,,,,,,,,620504,1990-01-17T06:38:08,,0,5.5,mb,,,,0.87025068,0,
earthquakes.fid--718ebb5a_177845ae793_5d1a,266058,167.22,,10,,,,,FINL,2008-04-02T18:32:24,ga1990bkkmab,2009-12-15T10:14:57,-19.978,133.706,4.4,,,,,,,,,,,703515,1990-01-20T19:56:46,,0,4.4,mb,,,,2.01560814,0,
earthquakes.fid--718ebb5a_177845ae793_5d5a,266597,0,,9,,LAKE EYRE NORTH SA,,,FINL,2008-04-02T18:26:00,ga1990cskhjm,2009-12-15T10:33:07,-27.891,137.342,,,4.5,,,,,,,,,1606470,1990-02-08T08:23:33,,0,4.5,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d71,266986,0,,5,,PORT HEDLAND; 230KM N,,,FINL,2008-04-02T18:21:15,ga1990dlwesa,2009-12-15T10:33:09,-18.252,118.234,,,4.5,,,,,,,,,1611122,1990-02-18T22:47:33,,0,4.5,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d8e,268206,273.19,,10,,,,,FINL,2008-04-02T18:08:25,ga1990fqblwr,2009-12-15T10:14:53,-25.43,129.51,,,4.5,,,,,,,,,620511,1990-03-21T13:37:22,,0,4.5,ML,,,,3.20690574,0,
earthquakes.fid--718ebb5a_177845ae793_5cfb,270365,0,,2.5,,CADOUX; 4KM W,,,FINL,2008-04-02T17:44:56,ga1990jaojsj,2009-12-15T10:33:09,-30.779,117.102,3.9,,4.5,,,,,,,,,1611123,1990-05-08T18:40:56,,0,4.5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d64,271586,273.19,,0,,,,,FINL,2008-04-02T17:31:12,ga1990lgxsly,2009-12-15T10:14:53,-11.522,143.038,,,4.5,,,,,,,,,620515,1990-06-09T13:42:13,,0,4.5,ML,,,,5.05538771,0,
earthquakes.fid--718ebb5a_177845ae793_5d4a,274095,140.38,,38,,,,,FINL,2008-04-02T17:04:25,ga1990pswvst,2009-12-15T10:14:53,-23.092,130.147,,,4.5,,,,,,,,,620516,1990-08-11T17:54:59,,0,4.5,ML,,,,1.35876884,0,
earthquakes.fid--718ebb5a_177845ae793_5d19,276887,140.38,,2,,,,,FINL,2008-04-02T16:15:10,ga1990vkqzay,2009-12-15T10:14:53,-20.061,134.166,4.3,,4.5,,,,,,,,,620520,1990-10-31T06:00:10,,0,4.5,mb,,,,3.11696649,0,
earthquakes.fid--718ebb5a_177845ae793_5d18,277790,139.5,,0,,Tennant Creek NT - aftershock,,,FINL,2008-04-02T16:28:05,ga1990xjjyjn,2009-12-15T10:14:53,-20.046,133.599,5.1,,5.2,,,,,,,,,620521,1990-11-27T21:16:26,,0,5.2,mb,,,,2.84640141,0,
earthquakes.fid--718ebb5a_177845ae793_5d17,279103,229.03,,2,,,,,FINL,2008-04-03T15:28:49,ga1991aeksjl,2009-12-15T10:14:53,-19.932,133.861,4.4,,4.4,,,,,,,,,620605,1991-01-03T09:40:56,,0,4.4,mb,,,,5.20409548,0,
earthquakes.fid--718ebb5a_177845ae793_5d1c,279108,225.31,,2,,Tennant Creek NT - aftershhock,,,FINL,2008-04-03T15:28:11,ga1991aetlve,2009-12-15T10:14:53,-19.906,133.831,4.7,,4.7,,,,,,,,,620606,1991-01-03T14:04:53,,0,4.7,mb,,,,3.69395164,0,
earthquakes.fid--718ebb5a_177845ae793_5d16,281333,225.31,,2,,Tennant Creek NT,,,FINL,2008-04-03T13:52:02,ga1991eplddz,2009-12-15T10:14:53,-20.021,133.809,5.1,,4.8,,,,,,,,,620608,1991-03-07T01:28:08,,0,5.1,mb,,,,8.95957177,0,
earthquakes.fid--718ebb5a_177845ae793_5d85,285375,225.11,,8,,Tennant Creek NT,,,FINL,2008-04-03T11:20:40,ga1991lzcwor,2009-12-15T10:14:53,-19.79,133.95,,,5.1,,,,,,,,,620610,1991-06-19T11:38:24,,0,5.1,ML,,,,11.05256117,0,
earthquakes.fid--718ebb5a_177845ae793_5d55,286098,103.31,,5,,Tennant Creek NT,,,FINL,2008-04-03T10:59:17,ga1991nhxxtt,2009-12-15T10:14:53,-19.861,133.866,,,5,,,,,,,,,620611,1991-07-08T10:45:34,,0,5,ML,,,,6.98045068,0,
earthquakes.fid--718ebb5a_177845ae793_5d8a,286959,79.81,,17,,GEORGETOWN HARD TO LOCATE ,,,FINL,2008-04-03T10:30:33,ga1991pjkuzy,2009-12-15T10:24:11,-18.222,143.506,,,4.8,,,,,,,,,1176095,1991-08-06T14:11:48,,0,4.8,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cfa,289618,0,,5,,EXMOUTH; 158KM N,,,FINL,2008-04-03T09:15:16,ga1991unaszm,2009-12-15T10:33:10,-20.5,114.126,4.5,,4.3,,,,,,,,,1612083,1991-10-18T09:07:27,,0,4.5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf9,291772,0,,1,,CRANBROOK; 20KM WSW,,,FINL,2008-04-03T08:13:27,ga1991ylmuyj,2009-12-15T10:33:07,-34.389,117.36,4.4,,4.3,,,,,,,,,1609659,1991-12-13T04:48:17,,0,4.4,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d15,297293,186.85,,5,,,,,FINL,2008-04-29T14:27:23,ga1992dykhde,2009-12-15T10:17:01,-19.861,134.177,4.2,,4.4,,,,,,,,,820226,1992-02-25T18:46:29,,0,4.4,mb,,,,7.68949183,0,
earthquakes.fid--718ebb5a_177845ae793_5d14,308103,156.2,,16,,,,,FINL,2008-04-29T21:20:30,ga1992lqlbpu,2009-12-15T10:17:01,-23.66,130.05,5.1,,4.5,,,,,,,,,820243,1992-06-13T18:05:21,,0,5.1,mb,,,,6.21459751,0,
earthquakes.fid--718ebb5a_177845ae793_5cf8,309977,0,,5,,EXMOUTH; 346KM NNW,,,FINL,2008-04-29T20:10:11,ga1992mwlidj,2009-12-15T10:33:08,-19.223,112.473,4.5,,4.7,,,,,,,,,1609729,1992-07-01T04:36:08,,0,4.7,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf7,311550,0,,5,,TOBIN LAKE; 47KM E,,,FINL,2008-04-29T19:17:44,ga1992nvuxhg,2009-12-15T10:33:08,-21.966,126.582,5,,4.8,,,,,,,,,1609740,1992-07-15T00:17:09,,0,5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d3d,311558,0,,5,,TOBIN LAKE; 39KM E,,,FINL,2008-04-29T19:18:02,ga1992nvyero,2009-12-15T10:33:10,-21.934,126.506,,,4.4,,,,,,,,,1611732,1992-07-15T01:56:15,,0,4.4,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf6,316440,135.62,,33,,,,,FINL,2008-04-30T11:44:21,ga1992qyezjq,2009-12-15T10:16:54,-12.705,123.685,4.9,,,,,,,,,,,813695,1992-08-27T19:19:20,,0,4.9,mb,,,,4.7950713,0,
earthquakes.fid--718ebb5a_177845ae793_5d13,320091,197.71,,39,,Uluru; NT,,,FINL,2008-04-30T09:39:14,ga1992thzsqb,2009-12-15T10:17:01,-11.354,134.573,5.4,,5.1,4.9,,,,,,,,820270,1992-09-30T11:18:07,,0,5.4,mb,,,,5.56084722,0,
earthquakes.fid--718ebb5a_177845ae793_5d12,333112,167.44,,1,,Tennant Creek NT,,,FINL,2008-04-28T15:42:32,ga1993dqhgny,2009-12-15T10:18:50,-19.815,133.903,4.6,,4.6,,,,,,,,,904151,1993-02-21T08:39:29,,0,4.6,mb,,,,5.2020367,0,
earthquakes.fid--718ebb5a_177845ae793_5d3b,346688,87.69,,5,,Tennant Creek NT,,,FINL,2008-04-03T21:05:36,ga1993usgqbm,2009-12-15T10:18:50,-19.862,133.944,,,4.8,,,,,,,,,904191,1993-10-21T05:27:28,,0,4.8,ML,,,,1.86471752,0,
earthquakes.fid--718ebb5a_177845ae793_5d11,349791,152.74,,19.3,,,,,FINL,2008-04-03T18:43:33,ga1993yvuozl,2009-12-15T10:21:26,-11.871,133.841,4.6,,,,,,,,,,,1037391,1993-12-18T19:27:30,,0,4.6,mb,,,,4.16021726,0,
earthquakes.fid--718ebb5a_177845ae793_5d10,349792,0,,19.3,,,,,FINL,2008-04-03T18:43:34,ga1993yvuozu,2009-12-15T10:24:05,-11.8274,133.8567,4.8,,,,,,,,,,,1171634,1993-12-18T19:27:31,,0,4.8,mb,,,,0.4118,0,
earthquakes.fid--718ebb5a_177845ae793_5cf4,350138,211.11,,33,,,,,FINL,2008-04-03T18:27:44,ga1993zjmeba,2009-12-15T10:21:26,-12.451,124.084,4.7,,,,,,,,,,,1037643,1993-12-26T06:16:05,,0,4.7,mb,,,,3.1486253,0,
earthquakes.fid--718ebb5a_177845ae793_5cf5,350137,32.64,,33,,,,,FINL,2008-04-03T18:27:45,ga1993zjmeaz,2009-12-15T10:24:08,-12.4661,124.0828,4.5,,,,,,,,,,,1173816,1993-12-26T06:16:05,,0,4.5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d0f,352122,92.65,,5,,,,,FINL,2008-04-22T18:12:05,ga1994csylug,2009-12-15T10:18:50,-19.761,133.885,4.7,,4.3,,,,,,,,,909468,1994-02-08T15:31:05,,0,4.7,mb,,,,96.63563228,0,
earthquakes.fid--718ebb5a_177845ae793_5cf3,361847,100.02,,2,,Ellalong; NSW.  This was the largest earthquake in Australia in 1994. The total damage bill is in excess of $40M.,,,FINL,2008-04-23T21:39:01,ga1994pjepaz,2009-12-15T10:18:50,-32.924,151.288,5.3,,5.3,,,,,,,,,909500,1994-08-06T11:03:51,,0,4.7,mwt,,,,1.88307026,0,
earthquakes.fid--718ebb5a_177845ae793_5d1e,363134,96.81,,5,,Tennant Creek NT,,,FINL,2008-04-23T19:45:14,ga1994rdvcvz,2009-12-15T10:18:50,-19.859,133.321,4.5,,4.5,,,,,,,,,909508,1994-08-31T20:48:30,,0,4.5,mb,,,,2.99322229,0,
earthquakes.fid--718ebb5a_177845ae793_5cf2,372127,271.01,,4,,Myrtle Springs SA.,,,FINL,2008-04-23T16:53:44,ga1994xyawid,2009-12-15T10:18:50,-30.357,137.952,4.6,,4,,,,,,,,,909537,1994-12-05T20:49:38,,0,4.6,mb,,,,1.27514885,0,
earthquakes.fid--718ebb5a_177845ae793_5d0e,387127,0,,16,,,,,FINL,2008-04-21T10:40:13,ga1995lqihsd,2009-12-15T10:28:11,-20.149,133.7148,4.8,,,4.8,,,,,,,,1364815,1995-06-14T16:41:54,,0,4.8,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d4c,387128,119.36,,16,,Tennant Creek NT,,,FINL,2008-04-21T10:40:12,ga1995lqihse,2009-12-15T10:21:36,-19.782,133.718,,,4.9,,,,,,,,,1045532,1995-06-14T16:41:54,,0,4.9,ML,,,,3.81403621,0,
earthquakes.fid--718ebb5a_177845ae793_5d66,391995,0,,5,,CARNARVON; 253KM NW,,,FINL,2008-04-21T22:20:22,ga1995qscxrv,2009-12-15T10:33:10,-23.313,111.86,,,4.6,,,,,,,,,1611812,1995-08-25T11:50:11,,0,4.6,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf1,391996,0,,5,,,,,FINL,2008-04-21T22:20:27,ga1995qscxso,2009-12-15T10:28:44,-23.7538,112.1831,4.6,,,,,,,,,,,1391338,1995-08-25T11:50:13,,0,4.6,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cf0,417157,0,,9,,,,,FINL,2008-04-07T10:45:23,ga1996lhvpsr,2009-12-15T10:31:29,-34.1658,135.8155,4.5,,,,,,,,,,,1520359,1996-06-09T01:43:10,,0,4.5,mb,,,,3.0263,0,
earthquakes.fid--718ebb5a_177845ae793_5cef,422889,75.3,,2,,The epicentre was about 80 km north of Whitecliffs in western NSW. It was felt strongly at nearby homesteads such as 'The Range' and as far as Bourke. A number of aftershocks were recorded and a field party of Malcolm Somerville and Tony Corke installed 5 seismographs in the epicentral region on the following weekend.,,,FINL,2008-04-17T13:58:46,ga1996pxjivq,2009-12-15T10:21:49,-30.08,143.519,4.9,,5.1,4.2,,,,,,,,1056289,1996-08-13T04:30:10,,0,5.1,mb,,,,2.7526926,0,
earthquakes.fid--718ebb5a_177845ae793_5d49,423008,125.86,,5,,The Range N.S.W.,,,FINL,2008-04-17T13:52:01,ga1996pzozil,2014-06-05T10:34:31,-30.121,143.538,,,4.4,,,,,,,,,1175420,1996-08-14T09:29:07,,0,4.4,ML,,,AUST,3.2476,0,
earthquakes.fid--718ebb5a_177845ae793_5cee,426264,267.06,,11,,Mt. Baw Baw/ Thomson Dam region Victoria. Felt over a 180 km radius.,,,FINL,2008-04-17T22:42:26,ga1996syoevi,2009-12-15T10:24:10,-37.877,146.467,4.7,,5,,,,,,,,,1175431,1996-09-25T07:49:56,,0,4.4,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5ced,441758,142.44,,22.8,,Burra; 33 kms E Clare S.A. Felt widely in South Australian northern areas.,,,FINL,2008-04-08T18:36:20,ga1997emdexg,2009-12-15T10:24:15,-33.823,138.972,4.8,,5,4.1,,,,,,,,1177575,1997-03-05T06:15:21,,0,5,mb,,,,2.0856,0,
earthquakes.fid--718ebb5a_177845ae793_5d0d,463360,0,,10,,Collier Bay; WA. Epicentre offshore near Cockatoo Is WA. ,,,FINL,2008-04-15T15:25:52,ga1997pqkbni,2016-02-12T22:26:20,-16.0503,124.4227,5.8,,6,5.9,,,6.2,,,,,1698659,1997-08-10T09:20:31,,0,6.2,Mwp,,,AUST,,0,
earthquakes.fid--718ebb5a_177845ae793_5d59,466082,0,,5,,KELLERBERRIN; 20 KM N,,,FINL,2008-04-15T14:01:52,ga1997rdkjbx,2009-12-15T10:33:10,-31.449,117.684,,,4.6,,,,,,,,,1611899,1997-08-31T15:23:50,,0,4.6,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5cec,466203,0,,5,,BROOME; 98 KM E,,,FINL,2008-04-15T13:58:11,ga1997reuzci,2009-12-15T10:33:09,-18.116,123.138,4.3,,4.5,,,,,,,,,1610609,1997-09-01T09:48:37,,0,4.5,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d0c,492153,0,,0,, Epicentre in the Gulf of Carpentaria. No confirmed felt reports.,,,FINL,2008-04-10T09:06:53,ga1998gdzvag,2014-12-02T13:12:18,-12.397,139.12,5.2,,4.9,4,,,,,,,,1450883,1998-03-29T03:50:17,,0,5.2,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d4f,498254,0,,3,,Oodnadatta SA,,,FINL,2008-04-11T16:53:51,ga1998lfymji,2009-12-15T10:26:54,-27.939,135.844,,,4.4,,,,,,,,,1299823,1998-06-09T01:00:50,,0,4.4,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d0a,509512,0,,10,,Off WA coast near Exmouth.,,,FINL,2008-04-14T11:50:39,ga1998vobinb,2009-12-15T10:29:56,-19.538,113.53,4.5,,4.6,,,,,,,,,1452344,1998-11-02T02:26:18,,0,4.6,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d09,509560,0,,0,,Off central Queensland coast. Felt,,,FINL,2008-04-14T11:48:43,ga1998vpepry,2009-12-15T10:29:56,-22.808,151.146,4.4,,4.7,,,,,,,,,1452345,1998-11-02T17:09:38,,0,4.7,mb,,,,1.9824,0,
earthquakes.fid--718ebb5a_177845ae793_5d08,510386,0,,33,,,,,FINL,2008-04-14T11:07:02,ga1998whsele,2009-12-15T10:42:38,-12.921,121.9949,4.6,,,3.9,,,,,,,,1890819,1998-11-12T19:19:32,,0,4.6,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d3e,510387,0,,6,,Near Scott Reef; Indian Ocean,,,FINL,2008-04-14T11:05:43,ga1998whseln,2009-12-15T10:29:56,-13.05,121.83,,,4.5,,,,,,,,,1452353,1998-11-12T19:19:33,,0,4.5,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d52,532903,0,,325.7,,Error ellipse is semi-major=288.4km semi-minor=59.9km azimuth=6.0.,,,FINL,2008-04-09T18:59:19,ga1999eskazw,2009-12-15T10:44:39,-13.044,125.7258,,,5.6,,,,,,,,,1946414,1999-03-08T16:08:53,,0,5.6,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d1d,533596,0,,33,,Error ellipse is semi-major=51.8km semi-minor=19.9km azimuth=66.0.,,,FINL,2008-04-09T18:45:12,ga1999euuvha,2009-12-15T10:44:41,-10.8895,128.7734,5.6,,,,,,,,,,,1947553,1999-03-09T23:43:05,,0,5.6,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d86,534947,0,,2,,West Wyalong; NSW. Felt.,,,FINL,2008-04-09T18:15:58,ga1999fcetak,2009-12-15T10:29:57,-34.001,147.077,,,4.4,,,,,,,,,1452494,1999-03-14T00:13:31,,0,3.9,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d41,535975,0,,8,,Appin NSW. Felt,,,FINL,2008-04-09T17:52:57,ga1999fhvjvs,2009-12-15T10:29:57,-34.234,150.77,,,4.8,,,,,,,,,1452495,1999-03-17T01:58:10,,0,4.3,mwt,,,,1.7097,0,
earthquakes.fid--718ebb5a_177845ae793_5d6a,544748,0,,6,,Tennant Creek NT. Felt in Tennant Creek and White Devil Mine (50 km W of Tennant Creek). Focal mechanism solution completed;principal stress near horizontal at 338 deg.,,,FINL,2008-04-09T05:03:39,ga1999hjhimq,2009-12-15T10:29:57,-19.791,134.044,,,5.1,,,,,,,,,1452628,1999-04-15T04:55:52,,0,5.1,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d92,552510,0,,14,,Tennant Creek NT,,,FINL,2008-04-09T02:55:35,ga1999jdoqqx,2009-12-15T10:29:57,-19.754,134.017,,,4.6,,,,,,,,,1452645,1999-05-10T10:02:25,,0,4.6,ML,,,,1.315,0,
earthquakes.fid--718ebb5a_177845ae793_5d54,638889,0,,5,,Off WA coast near Learmonth,,,FINL,2008-04-07T17:00:06,ga2000jmymov,2009-12-15T11:12:07,-22.977,112.901,,,4.7,,,,,,,,,1647741,2000-05-14T12:39:41,,0,4.7,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d77,639064,0,,18,,Boolarra South; Vic. Felt.,,,FINL,2008-04-07T16:58:30,ga2000rbibpq,2009-12-15T11:12:07,-38.415,146.29,,,5,,,,,,,,,1759026,2000-08-29T12:05:52,,0,4.1,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d07,639224,0,,36.2,,Off WA coast near Exmouth,,,FINL,2008-04-07T16:56:43,ga2000ucuxvl,2009-12-15T11:12:07,-19.804,113.066,5.3,,5.4,4.9,,,,,,,,1759073,2000-10-11T19:27:17,,0,5.4,mb,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d79,639718,0,,11,,Tennant Creek NT. Woke some residents in the township. No damage reported,,,FINL,2008-04-08T07:53:07,ga2001sdciuu,2009-12-15T11:12:08,-19.702,133.879,,,4.9,,,,,,,,,1908283,2001-09-14T15:18:30,,0,4.9,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d68,639728,0,,2.3,,Burakin WA; timing error for KLBR. Felt in Perth.,,,FINL,2008-04-08T07:53:17,ga2001tbvwjr,2009-12-15T11:12:08,-30.536,117.061,,,5.2,,,,,,,,,1908286,2001-09-28T02:54:56,,0,5.2,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d5c,639901,0,,0,,Ravensthorpe WA. Widely felt in southwestern WA.,,,FINL,2008-04-08T07:51:11,ga2001upnolt,2009-12-15T11:12:08,-33.608,120.593,,,5.2,,,,,,,,,1908348,2001-10-19T17:43:23,,0,5.2,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d60,639921,0,,16.5,,Swan Hill Vic. Minor damage; with some chimneys toppled.,,,FINL,2008-04-08T07:50:07,ga2001vdlztj,2009-12-15T11:12:08,-35.356,143.69,,,4.8,,,,,,,,,1908359,2001-10-27T07:58:48,,0,4.2,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d38,640023,0,,2.4,,Burakin WA . Felt.,,,FINL,2008-04-08T07:49:02,ga2001znyafg,2009-12-15T11:12:08,-30.533,117.068,,,4.5,,,,,,,,,1908475,2001-12-28T16:31:36,,0,4.22,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d7b,640124,0,,10,,Near King Is; Tas. Nearest station TOO. Felt at Burnie; The Nut; Smithton; Hellyer Beach; Montagu; Strahan; and Currie; King Is.,,,FINL,2008-04-08T18:01:24,ga2002cqxjev,2009-12-15T11:12:08,-40.356,143.886,,,4.5,,,,,,,,,1908539,2002-02-07T12:48:57,,0,4.5,ML,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d43,640193,0,,0.5,,Burakin WA. Nearest station KLBR. Widely felt in southwest WA; including tall buildings in Perth. Minor damage near Burakin.,,,FINL,2008-04-08T18:01:10,ga2002eluifc,2009-12-15T11:12:08,-30.499,117.049,,,5,,,,,,,,,1908574,2002-03-05T01:47:38,,0,4.46,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d95,640208,0,,0.4,,Burakin WA. Nearest station KLBR. Felt.,,,FINL,2008-04-08T18:01:14,ga2002elxsjm,2009-12-15T11:12:08,-30.508,117.062,,,4.6,,,,,,,,,1908575,2002-03-05T03:29:57,,0,4.2,mwt,,,,,0,
earthquakes.fid--718ebb5a_177845ae793_5d7d,640344,0,,1.7,,Burakin; WA. Nearest station KLBR.,,,FINL,2008-04-08T17:59:55,ga2002ftsfnx,2009-12-15T11:12:08,-30.521,117.054,,,4.8,,,,,,,,,1908699,2002-03-23T13:16:22,,0,4.39,mwt,,,,,0,
